stock,EPS,P/E,growth_5_years,actual price,intrinsic value,price evaluation
AAPL,6.42,29.59,9.70%,186.88,208.3946766,0.8967599511128779
MSFT,11.53,37.31,15.00%,427.0,494.71194499999996,0.8631285424086537
BRK-B,33.90,12.02,23.30%,405.88,502.420374,0.8078494046103314
AMZN,3.58,50.49,28.17%,181.05,231.67265814,0.7814905800864568
TSLA,3.91,45.84,14.13%,173.74,204.56022072000002,0.8493342419580862
META,17.36,27.55,27.71%,465.78,610.7960628,0.7625785894309468
UNH,16.36,31.06,12.92%,516.83,573.79349472,0.9007247463692543
V,8.95,30.67,12.36%,274.23,308.42426739999996,0.8891323705224112
JNJ,6.73,21.84,4.80%,149.7,154.0383936,0.971835634619342
XOM,8.15,13.92,6.60%,113.51,120.93556800000002,0.9385989736286681
WMT,2.33,28.06,7.54%,64.84,70.30943692,0.9222090638242023
JPM,16.58,12.11,1.11%,196.92,203.01250018,0.9699895318042085
PG,6.12,27.01,7.33%,165.49,177.41777796000002,0.9327701085136507
MA,12.59,35.84,17.98%,451.21,532.35596288,0.8475719846528865
HD,14.92,21.79,3.40%,326.89,336.16043119999995,0.972422598439361
LLY,6.78,119.09,62.63%,808.45,1313.12373426,0.615669322629063
CVX,10.87,14.51,4.30%,156.94,164.50581909999997,0.9540088056374416
BAC,2.90,13.69,8.04%,39.17,42.8929604,0.9132034635688144
KO,2.49,24.90,5.55%,62.09,65.44205550000001,0.9487782669051401
ABBV,3.36,46.74,6.21%,158.26,166.79898144,0.9488067530971608
COST,15.30,52.92,9.94%,796.34,890.1577944,0.8946054340138238
PEP,6.64,26.81,7.15%,179.27,190.74671559999996,0.9398326961284782
MRK,0.91,142.30,85.92%,131.09,240.75338560000003,0.5444990926017532
TMO,15.59,37.46,6.82%,585.03,623.83029548,0.9378031240849797
DHR,5.44,48.31,7.52%,261.4,282.56944128000004,0.9250823401705951
VZ,2.67,14.88,1.12%,39.43,40.17457152,0.9814665971078413
ORCL,3.79,32.43,9.89%,124.09,135.06546933,0.9187396350492509
ABT,3.21,32.38,7.48%,104.23,111.71449704,0.9330033501621537
ADBE,10.46,45.45,12.34%,483.31,534.0722238000001,0.9049525110315237
ACN,11.02,27.31,7.58%,305.93,323.76867996,0.9449030092651215
DIS,0.92,110.61,16.85%,100.66,118.90796220000001,0.8465370874886626
CMCSA,3.77,10.22,8.66%,38.68,41.86604604,0.9238990460920059
MCD,11.77,21.93,6.17%,257.93,274.04186337,0.9412065617571487
CSCO,2.96,15.68,3.46%,46.6,48.01868287999999,0.9704556061326105
CRM,4.19,64.99,16.22%,278.57,316.47647382,0.8802234069330543
QCOM,7.51,28.01,10.43%,201.76,232.29513693,0.8685502532099865
NKE,3.40,26.99,12.41%,91.4,103.1541606,0.8860524817260741
TMUS,7.35,22.59,23.82%,164.97,205.5863943,0.8024363701776349
INTC,0.97,31.67,36.80%,30.08,42.02482319999999,0.715767437184602
WFC,4.80,12.54,8.00%,59.68,65.00735999999999,0.918049894658082
UPS,6.91,20.07,6.80%,139.1,148.11419160000003,0.9391402572391987
NEE,3.66,20.93,8.01%,75.32,82.73976438000001,0.9103240813459031
TXN,6.41,31.07,-5.73%,197.29,187.74690649000001,1.0508295645899672
AMD,0.68,244.65,30.64%,160.43,217.33531680000004,0.7381681098228209
MS,5.50,17.99,7.39%,98.92,106.2570355,0.9309501204746108
PM,5.12,19.52,9.56%,99.65,109.49689344,0.9100714812023805
LIN,12.89,33.79,9.35%,432.3,476.27731485,0.9076644772303499
RTX,2.54,41.84,11.44%,105.41,118.43129984000002,0.890051870936216
T,1.86,9.41,1.13%,17.47,17.70037938,0.9869844947922239
UNP,10.47,22.16,13.39%,232.71,263.08203528000007,0.8845529864945932
AMGN,7.00,43.69,5.06%,306.5,321.30499799999996,0.9539222916165159
LOW,12.48,17.24,4.00%,217.48,223.761408,0.9719280994156061
SPGI,8.94,49.02,13.56%,436.28,497.66398128000003,0.8766557685727638
HON,8.63,23.14,8.33%,199.39,216.33306006,0.9216806712053125
CVS,5.70,9.74,-0.30%,55.65,55.351446,1.0053937886283946
MDT,2.76,29.82,3.48%,81.38,85.16735135999998,0.9555304785281984
INTU,10.80,56.20,14.39%,662.26,694.301544,0.9538506801880308
